Région,Hébergement terrestre payant,Hébergement gratuit,Croisière
Afrique,0.34951456310679613,0.23300970873786409,0.4174757281553398
Amérique Centrale,0.6780626780626781,0.05982905982905983,0.2621082621082621
Amérique du Nord,0.7962396152164407,0.028275761550794344,0.1754846232327649
Amérique du Sud,0.8485158648925282,0.05629477993858751,0.09518935516888434
Asie,0.8829331046312179,0.030017152658662092,0.08704974271012007
Europe (hors France),0.6407609497124318,0.06075800029494175,0.2984810499926265
France,0.6044749573136027,0.29371798520204895,0.10180705748434832
Pacifique,0.6400409626216078,0.2073732718894009,0.1525857654889913
Proche et Moyen Orient,0.7,0.08666666666666667,0.21333333333333335
